	Liam	Olivia	Noah	Emma	Oliver	Ava	Elijah	Charlotte	William	Sophia	James	Amelia	Benjamin	Isabella	Lucas	Mia	Henry	Evelyn	Alexander	Harper	Mason	Camila	Michael	Gianna	Sam	Frances	Oliver	Anastasia	Alan	Heza	David	Katrina
Liam	-	50	5	5	5	0	0	0	0	0	0	2.866450422	-3.599958376	0	0	0	0	0	2.293501604	0	0	1.179723036	0	0	0	0	0	0	0	0	0	0
Olivia	-	-	1	5	5	0	0	2.207102707	0	0.321399488	0	0	0	0	0	0	0	0	0	-0.266904183	0	-2.412408762	0	0	-0.550554795	-4.089371354	0	0	0	-3.133338199	0	0
Noah	-	-	-	50	5	-1.96230444	0	0	0	0	0	0.55871134	0	3.454069642	0	0	0	3.207193513	0	0	0	0	0	0	0	0	0	0	0	0	3.824348744	0
Emma	-	-	-	-	1	5	5	5	1.580073921	0	0	0	0	0.391417708	0	0	0	0	0	0	0	-0.795135416	0.703665605	0	1.808015161	0	0	0	0.082143996	0	0	0
Oliver	-	-	-	-	-	50	5	5	0	0	-0.749057241	0	0	-1.083126528	0	0	-1.043292547	0.249853665	0	-1.799782505	0	0	0	0	0	0	0.973563702	1.772507059	-1.779328863	0	0	0
Ava	-	-	-	-	-	-	1	5	0	0	0	0	0	3.343252401	0	0	-0.235783379	0	0	0	0	0.194575965	0	0	0	0	0	0	0	0	-2.21846326	-2.133265667
Elijah	-	-	-	-	-	-	-	50	5	5	5	5	0.415724894	-0.238966148	0	0	0	0	-0.510821115	0	0	-0.898197587	0	0	2.561994231	0	0	0	-0.414026156	0	0	-1.076189436
Charlotte	-	-	-	-	-	-	-	-	1	5	5	5	0	0	0	0	-1.992837027	0	0	0	0.182264046	-1.204311366	-2.741619826	0	0	-0.02971831	-0.689078641	0	0	0	0	0
William	-	-	-	-	-	-	-	-	-	50	5	5	0	0	0	0	2.542583901	0	-1.053163681	0	1.164543862	0	0	0	1.20519572	0	0	0	0	0	0	-1.421560631
Sophia	-	-	-	-	-	-	-	-	-	-	1	5	0	0	0	0	-0.049008909	0	0	0	0	-0.058957027	-3.10213374	0	-0.982708326	0	0	0	0	0	0	0
James	-	-	-	-	-	-	-	-	-	-	-	50	5	5	5	5	0	0	1.872695536	0	0	0	1.636896489	0	0.328767032	0	1.115894937	0	0	0	1.940479551	0
Amelia	-	-	-	-	-	-	-	-	-	-	-	-	1	5	5	5	0	0	0	0	0	0	-1.365523074	0	0	0	0	0	0	0	0	0
Benjamin	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	5	0	0	0	0	0	0	0	0	0	0	-3.166630608	0	0	0	0.512424267	1.246452634
Isabella	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lucas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	5	5	0	-0.767143722	0	0	-4.731300509	0	0	0	0	0	0	0	0
Mia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Henry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	0	1.753017101	0	0	0	4.184061146	0	0	0	0	0	0	0
Evelyn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	5	5	0	0	0	0	0	0	0	0	0	0
Alexander	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	5	0	0	0	0	3.247505058	0	0	0	0	-2.902850294
Harper	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	-3.711218414	0	2.540572225	0	0	0	0	-3.592022319	0	0.015491587
Mason	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	5	0.526674187	0	0	0	0	0	0	0
Camila	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	0	1.031456447	-0.31322422	0	0	0	1.140230646	-1.458707741
Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	0	0	0	0	0	0.1863948	0	0
Gianna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
Sam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	10	10	-3.500305584	0	0	0
Frances	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	10	-1.400530556	0	0	1.282236774
Oliver	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	10	10	10	10
Anastasia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	5	5
Alan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	5	5
Heza	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5
David	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50
Katrina	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
